THING. · Hangout Prompt Library,,,,,,,,,,,,,,,,,,
Seed library for the first 4 Hangouts. 798 prompts total. Includes original THING. seeds plus Gemini variants. Hot tiers: Flirty / Bold / Spicy / KitKat. KitKat is a locked post-Spicy tier; unlock rule TBD. Adult-only with mutual consent and skip/lower-level controls.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ID,Hangout,Engine,Round Type,Level,Prompt EN,Prompt ES,Option A EN,Option A ES,Option B EN,Option B ES,Mood,Context,Intensity,Tags,Adult,Reveal Style,Notes,Status
SB-015,Same Brain,same_brain,choice,—,better first stop on a trip,mejor primera parada en un viaje,local food,comida local,famous landmark,lugar famoso,know_me,both,1,travel,FALSE,after_both_answer,,Approved
SB-016,Same Brain,same_brain,choice,—,best way to waste an hour,mejor forma de perder una hora,scroll,scrollear,nap,siesta,dumb,both,1,habits,FALSE,after_both_answer,,Approved
SB-017,Same Brain,same_brain,choice,—,more important in a hotel,más importante en un hotel,great shower,regadera increíble,great bed,cama increíble,know_me,both,1,travel,FALSE,after_both_answer,,Approved
SB-018,Same Brain,same_brain,choice,—,better surprise,mejor sorpresa,planned perfectly,perfectamente planeada,totally random,totalmente espontánea,know_me,both,1,personality,FALSE,after_both_answer,,Approved
SB-019,Same Brain,same_brain,choice,—,better pet energy,mejor energía de mascota,cat,gato,dog,perro,dumb,both,1,pets,FALSE,after_both_answer,,Approved
SB-020,Same Brain,same_brain,choice,—,pick the chaos,elige el caos,karaoke,karaoke,dance floor,pista de baile,dumb,same_place,1,party,FALSE,after_both_answer,,Approved
SB-021,Same Brain,same_brain,choice,—,better date food,mejor comida para una cita,tacos,tacos,sushi,sushi,flirt,both,1,"food,date",FALSE,after_both_answer,,Approved
SB-022,Same Brain,same_brain,choice,—,better apology,mejor disculpa,long message,mensaje largo,show up in person,aparecer en persona,know_me,both,2,communication,FALSE,after_both_answer,,Approved
SB-023,Same Brain,same_brain,choice,—,more romantic,más romántico,sunrise,amanecer,midnight,medianoche,flirt,both,1,romance,FALSE,after_both_answer,,Approved
SB-024,Same Brain,same_brain,choice,—,better comfort movie type,mejor película de comfort,comedy,comedia,animated,animada,dumb,both,1,movies,FALSE,after_both_answer,,Approved
SB-025,Same Brain,same_brain,choice,—,best chaos vacation,mejor viaje caótico,Vegas,Vegas,Tokyo,Tokio,dumb,both,1,travel,FALSE,after_both_answer,,Approved
SB-026,Same Brain,same_brain,choice,—,better tiny gift,mejor detalle pequeño,favorite snack,snack favorito,random flower,flor random,flirt,both,1,gift,FALSE,after_both_answer,,Approved
SB-027,Same Brain,same_brain,choice,—,more important,más importante,good morning text,mensaje de buenos días,good night text,mensaje de buenas noches,flirt,apart,1,texting,FALSE,after_both_answer,,Approved
SB-028,Same Brain,same_brain,choice,—,better photo,mejor foto,perfect pose,pose perfecta,candid laugh,risa espontánea,flirt,both,1,photos,FALSE,after_both_answer,,Approved
SB-029,Same Brain,same_brain,choice,—,pick one forever,elige uno para siempre,music,música,movies,películas,dumb,both,1,media,FALSE,after_both_answer,,Approved
SB-030,Same Brain,same_brain,choice,—,better weekend,mejor fin de semana,packed plans,lleno de planes,zero plans,cero planes,know_me,both,1,weekend,FALSE,after_both_answer,,Approved
SB-031,Same Brain,same_brain,choice,—,worse roommate habit,peor hábito de roomie,dirty dishes,platos sucios,alarm snoozing,posponer alarma,dumb,both,1,habits,FALSE,after_both_answer,,Approved
SB-032,Same Brain,same_brain,choice,—,better midnight food,mejor comida de medianoche,breakfast food,desayuno,street food,comida callejera,dumb,both,1,food,FALSE,after_both_answer,,Approved
SB-033,Same Brain,same_brain,choice,—,better way to celebrate,mejor forma de celebrar,big party,fiesta grande,tiny dinner,cena chiquita,know_me,both,1,celebration,FALSE,after_both_answer,,Approved
SB-034,Same Brain,same_brain,choice,—,better instant mood fix,mejor arreglo instantáneo del humor,music,música,food,comida,know_me,both,1,mood,FALSE,after_both_answer,,Approved
SB-035,Same Brain,same_brain,choice,—,choose the vibe,elige el vibe,neon city,ciudad neón,cabin in woods,cabaña en bosque,dumb,both,1,aesthetic,FALSE,after_both_answer,,Approved
SB-036,Same Brain,same_brain,choice,—,better compliment,mejor cumplido,you're hot,estás guapísimo/a,you make me laugh,me haces reír,flirt,both,1,attraction,FALSE,after_both_answer,,Approved
SB-037,Same Brain,same_brain,choice,—,better message to receive,mejor mensaje para recibir,I miss you,te extraño,I have a plan,tengo un plan,flirt,apart,1,texting,FALSE,after_both_answer,,Approved
SB-038,Same Brain,same_brain,choice,—,better guilty pleasure,mejor gusto culposo,reality TV,reality show,junk food,comida chatarra,dumb,both,1,guilty_pleasure,FALSE,after_both_answer,,Approved
SB-039,Same Brain,same_brain,choice,—,more fun to win,más divertido ganar,trivia,trivia,arcade game,arcade,dumb,same_place,1,competition,FALSE,after_both_answer,,Approved
SB-040,Same Brain,same_brain,choice,—,better morning,mejor mañana,slow coffee,café sin prisa,early adventure,aventura temprano,know_me,both,1,routine,FALSE,after_both_answer,,Approved
SB-041,Same Brain,same_brain,choice,—,better tiny rebellion,mejor mini rebeldía,skip plans,cancelar planes,buy dessert first,pedir postre primero,dumb,both,1,chaos,FALSE,after_both_answer,,Approved
SB-042,Same Brain,same_brain,choice,—,more elite weather,clima más top,cold + sunny,frío y soleado,warm + rainy,cálido y lluvioso,dumb,both,1,weather,FALSE,after_both_answer,,Approved
SB-043,Same Brain,same_brain,choice,—,better souvenir,mejor souvenir,photo,foto,weird object,objeto raro,know_me,both,1,"travel,memory",FALSE,after_both_answer,,Approved
SB-044,Same Brain,same_brain,choice,—,pick the harder thing,elige lo más difícil,say sorry first,pedir perdón primero,say I miss you first,decir te extraño primero,flirt,both,2,communication,FALSE,after_both_answer,,Approved
SB-045,Same Brain,same_brain,choice,—,better attention,mejor atención,remember tiny details,recordar detalles mínimos,show up when needed,estar cuando hace falta,know_me,both,2,care,FALSE,after_both_answer,,Approved
SB-046,Same Brain,same_brain,choice,—,better spontaneous plan,mejor plan espontáneo,night drive,drive nocturno,late dinner,cena tarde,flirt,same_place,1,date,FALSE,after_both_answer,,Approved
SB-047,Same Brain,same_brain,choice,—,better remote hangout,mejor plan a distancia,video call,videollamada,play something together,jugar algo juntos,flirt,apart,1,remote,FALSE,after_both_answer,,Approved
SB-048,Same Brain,same_brain,choice,—,choose a terrible idea,elige una mala idea,text the ex,escribirle al ex,cut your own hair,cortarte el pelo tú,dumb,both,1,chaos,FALSE,after_both_answer,,Approved
SB-049,Same Brain,same_brain,choice,—,better fictional world,mejor mundo ficticio,Harry Potter,Harry Potter,Pokémon,Pokémon,dumb,both,1,fiction,FALSE,after_both_answer,,Approved
SB-050,Same Brain,same_brain,choice,—,better dessert,mejor postre,ice cream,helado,cake,pastel,dumb,both,1,food,FALSE,after_both_answer,,Approved
SB-051,Same Brain,same_brain,choice,—,better social battery recovery,mejor recuperación social,alone time,tiempo solo/a,one favorite person,una persona favorita,know_me,both,1,personality,FALSE,after_both_answer,,Approved
SB-052,Same Brain,same_brain,choice,—,better surprise trip,mejor viaje sorpresa,city,ciudad,nature,naturaleza,know_me,both,1,travel,FALSE,after_both_answer,,Approved
SB-053,Same Brain,same_brain,choice,—,more attractive style,estilo más atractivo,dressed up,arreglado/a,effortless casual,casual sin esfuerzo,flirt,both,1,style,FALSE,after_both_answer,,Approved
SB-054,Same Brain,same_brain,choice,—,better chemistry sign,mejor señal de química,easy silence,silencio cómodo,constant teasing,molestarse jugando,flirt,both,2,chemistry,FALSE,after_both_answer,,Approved
SB-055,Same Brain,same_brain,choice,—,better shared memory,mejor recuerdo compartido,perfect photo,foto perfecta,inside joke,chiste interno,flirt,both,1,memory,FALSE,after_both_answer,,Approved
SB-056,Same Brain,same_brain,choice,—,better chaos animal,animal caótico superior,raccoon,mapache,goose,ganso,dumb,both,1,animals,FALSE,after_both_answer,,Approved
SB-057,Same Brain,same_brain,choice,—,better tiny flex,mejor mini flex,good playlist,buena playlist,good restaurant picks,buenas recomendaciones de comida,dumb,both,1,taste,FALSE,after_both_answer,,Approved
SB-058,Same Brain,same_brain,choice,—,more useful skill,habilidad más útil,cook anything,cocinar cualquier cosa,fix anything,arreglar cualquier cosa,know_me,both,1,skills,FALSE,after_both_answer,,Approved
SB-059,Same Brain,same_brain,choice,—,better late reply excuse,mejor excusa por contestar tarde,I fell asleep,me dormí,I forgot my phone existed,olvidé que existía mi cel,dumb,apart,1,texting,FALSE,after_both_answer,,Approved
SB-060,Same Brain,same_brain,choice,—,better affectionate move,mejor gesto cariñoso,hug from behind,abrazo por atrás,head on shoulder,cabeza en el hombro,flirt,same_place,1,affection,FALSE,after_both_answer,,Approved
SB-061,Same Brain,same_brain,choice,—,more fun first,más divertido primero,museum,museo,bar,bar,dumb,same_place,1,date,FALSE,after_both_answer,,Approved
SB-062,Same Brain,same_brain,choice,—,better mini challenge,mejor mini reto,cook together,cocinar juntos,build something together,armar algo juntos,dumb,same_place,1,activity,FALSE,after_both_answer,,Approved
SB-063,Same Brain,same_brain,choice,—,better unexpected compliment,mejor cumplido inesperado,you smell good,hueles rico,I like how your brain works,me gusta cómo funciona tu cabeza,flirt,both,2,compliment,FALSE,after_both_answer,,Approved
SB-064,Same Brain,same_brain,choice,—,choose your downfall,elige tu perdición,too much coffee,demasiado café,too little sleep,muy poco sueño,dumb,both,1,habits,FALSE,after_both_answer,,Approved
SB-065,Same Brain,same_brain,choice,—,better low-budget date,mejor cita barata,walk + snack,caminar + snack,cook at home,cocinar en casa,flirt,same_place,1,date,FALSE,after_both_answer,,Approved
SB-066,Same Brain,same_brain,choice,—,better remote surprise,mejor sorpresa a distancia,food delivery,mandar comida,playlist,playlist,flirt,apart,1,remote,FALSE,after_both_answer,,Approved
SB-067,Same Brain,same_brain,choice,—,more satisfying,más satisfactorio,cancelled meeting,reunión cancelada,finding money,encontrar dinero,dumb,both,1,life,FALSE,after_both_answer,,Approved
SB-068,Same Brain,same_brain,choice,—,better smell,mejor olor,coffee,café,rain,lluvia,dumb,both,1,sensory,FALSE,after_both_answer,,Approved
SB-069,Same Brain,same_brain,choice,—,better way to say yes,mejor forma de decir que sí,immediately,inmediatamente,pretend to think first,fingir pensarlo,dumb,both,1,behavior,FALSE,after_both_answer,,Approved
SB-070,Same Brain,same_brain,choice,—,better tiny ritual,mejor mini ritual,weekly takeout,comida favorita semanal,shared playlist update,actualizar playlist juntos,know_me,both,1,ritual,FALSE,after_both_answer,,Approved
SB-071,Same Brain,same_brain,choice,—,better random message,mejor mensaje random,meme,meme,voice note,audio,flirt,apart,1,texting,FALSE,after_both_answer,,Approved
SB-072,Same Brain,same_brain,choice,—,better birthday energy,mejor energía de cumpleaños,surprise,sorpresa,tell me the plan,dime el plan,know_me,both,1,celebration,FALSE,after_both_answer,,Approved
SB-073,Same Brain,same_brain,choice,—,better attraction trigger,mejor detonante de atracción,eye contact,contacto visual,voice,voz,flirt,both,2,attraction,FALSE,after_both_answer,,Approved
SB-074,Same Brain,same_brain,choice,—,better comfort,mejor comfort,being held,que te abracen,being left alone,que te dejen en paz,know_me,both,2,comfort,FALSE,after_both_answer,,Approved
SB-075,Same Brain,same_brain,choice,—,better partner-in-crime quality,mejor cualidad de cómplice,says yes fast,dice que sí rápido,has better ideas,tiene mejores ideas,flirt,both,1,chemistry,FALSE,after_both_answer,,Approved
SB-076,Same Brain,same_brain,choice,—,better ending to a good night,mejor final para una buena noche,one more drink,una copa más,go get food,ir por comida,dumb,same_place,1,night,FALSE,after_both_answer,,Approved
SB-077,Same Brain,same_brain,choice,—,more important on a trip,más importante en un viaje,good photos,buenas fotos,good stories,buenas historias,know_me,both,1,travel,FALSE,after_both_answer,,Approved
SB-078,Same Brain,same_brain,choice,—,better tiny adventure,mejor mini aventura,random bus stop,bajarse en un lugar random,drive with no destination,manejar sin destino,dumb,same_place,1,adventure,FALSE,after_both_answer,,Approved
SB-079,Same Brain,same_brain,choice,—,better way to reconnect,mejor forma de reconectar,talk it out,hablarlo,do something fun first,hacer algo divertido primero,know_me,both,2,communication,FALSE,after_both_answer,,Approved
SB-080,Same Brain,same_brain,choice,—,better green flag,mejor green flag,kind to strangers,amable con desconocidos,keeps promises,cumple lo que dice,know_me,both,2,values,FALSE,after_both_answer,,Approved
GU-001,Know Me,guess,prediction,—,what would I pick for a surprise day?,¿qué elegiría para un día sorpresa?,planned itinerary,itinerario planeado,no plan at all,sin plan,know_me,both,1,personality,FALSE,after_both_answer,,Approved
GU-002,Know Me,guess,prediction,—,what gift would mean more to me?,¿qué regalo significaría más para mí?,expensive,caro,ridiculously thoughtful,ridículamente pensado,know_me,both,2,values,FALSE,after_both_answer,,Approved
GU-003,Know Me,guess,prediction,—,what would calm me down faster?,¿qué me calmaría más rápido?,space,espacio,talking,hablar,know_me,both,2,comfort,FALSE,after_both_answer,,Approved
GU-004,Know Me,guess,prediction,—,which would I order first?,¿qué pediría primero?,dessert,postre,another drink,otra bebida,dumb,same_place,1,food,FALSE,after_both_answer,,Approved
GU-005,Know Me,guess,prediction,—,what would I do with a free flight?,¿qué haría con un vuelo gratis?,big city,gran ciudad,somewhere remote,un lugar remoto,know_me,both,1,travel,FALSE,after_both_answer,,Approved
GU-006,Know Me,guess,prediction,—,what ruins my mood faster?,¿qué me arruina el humor más rápido?,being rushed,que me apuren,waiting forever,esperar demasiado,know_me,both,1,habits,FALSE,after_both_answer,,Approved
GU-007,Know Me,guess,prediction,—,what compliment hits me harder?,¿qué cumplido me pega más?,you look amazing,te ves increíble,I'm proud of you,estoy orgulloso/a de ti,flirt,both,2,compliment,FALSE,after_both_answer,,Approved
GU-008,Know Me,guess,prediction,—,what would I rather receive?,¿qué preferiría recibir?,a long text,un mensaje largo,a voice note,un audio,flirt,apart,1,communication,FALSE,after_both_answer,,Approved
GU-009,Know Me,guess,prediction,—,what's more likely to tempt me?,¿qué me tienta más?,late-night food,comida nocturna,online shopping,compras en línea,dumb,both,1,habits,FALSE,after_both_answer,,Approved
GU-010,Know Me,guess,prediction,—,what would I choose on vacation?,¿qué elegiría de vacaciones?,wake up early,levantarme temprano,sleep in,dormir hasta tarde,know_me,both,1,travel,FALSE,after_both_answer,,Approved
GU-011,Know Me,guess,prediction,—,what makes me feel more cared for?,¿qué me hace sentir más cuidado/a?,helping me,que me ayuden,checking in,que me pregunten cómo estoy,know_me,both,2,care,FALSE,after_both_answer,,Approved
GU-012,Know Me,guess,prediction,—,what would I rather be known for?,¿por qué preferiría ser conocido/a?,being funny,ser divertido/a,being smart,ser inteligente,know_me,both,2,identity,FALSE,after_both_answer,,Approved
GU-013,Know Me,guess,prediction,—,what would I hate more?,¿qué odiaría más?,losing my phone,perder mi cel,missing a flight,perder un vuelo,dumb,both,1,scenario,FALSE,after_both_answer,,Approved
GU-014,Know Me,guess,prediction,—,which social plan sounds more like me?,¿qué plan social suena más a mí?,small dinner,cena pequeña,big party,fiesta grande,know_me,both,1,social,FALSE,after_both_answer,,Approved
GU-015,Know Me,guess,prediction,—,what would I save first?,¿qué salvaría primero?,photos,fotos,messages,mensajes,know_me,both,2,memory,FALSE,after_both_answer,,Approved
GU-016,Know Me,guess,prediction,—,what would I pick for a lazy night?,¿qué elegiría para noche floja?,series marathon,maratón de serie,random YouTube,YouTube random,dumb,both,1,media,FALSE,after_both_answer,,Approved
GU-017,Know Me,guess,prediction,—,what would make me more jealous?,¿qué me daría más celos?,flirty texts,mensajes coquetos,too much attention to someone else,demasiada atención a alguien más,flirt,both,3,jealousy,FALSE,after_both_answer,,Approved
GU-018,Know Me,guess,prediction,—,what would I rather hear after a bad day?,¿qué preferiría oír después de un mal día?,want to talk?,¿quieres hablar?,I brought food,traje comida,know_me,both,2,comfort,FALSE,after_both_answer,,Approved
GU-019,Know Me,guess,prediction,—,what would I choose if money didn't matter?,¿qué elegiría si el dinero no importara?,travel constantly,viajar siempre,build the perfect home,hacer la casa perfecta,know_me,both,2,dreams,FALSE,after_both_answer,,Approved
GU-020,Know Me,guess,prediction,—,what would I pick at 2am?,¿qué escogería a las 2am?,keep talking,seguir hablando,go to sleep,irme a dormir,flirt,apart,1,night,FALSE,after_both_answer,,Approved
GU-021,Know Me,guess,prediction,—,what scares me more?,¿qué me asusta más?,failing,fracasar,regretting not trying,arrepentirme de no intentar,know_me,both,3,values,FALSE,after_both_answer,,Approved
GU-022,Know Me,guess,prediction,—,what would I notice first?,¿qué notaría primero?,new haircut,corte nuevo,new shoes,zapatos nuevos,dumb,both,1,attention,FALSE,after_both_answer,,Approved
GU-023,Know Me,guess,prediction,—,what would I spend more on?,¿en qué gastaría más?,food,comida,experiences,experiencias,know_me,both,1,money,FALSE,after_both_answer,,Approved
GU-024,Know Me,guess,prediction,—,what would I pick to reset my brain?,¿qué elegiría para resetear mi cabeza?,walk,caminar,shower,baño,know_me,both,1,routine,FALSE,after_both_answer,,Approved
GU-025,Know Me,guess,prediction,—,what kind of surprise would I like more?,¿qué sorpresa me gustaría más?,romantic,romántica,funny,chistosa,flirt,both,2,surprise,FALSE,after_both_answer,,Approved
GU-026,Know Me,guess,prediction,—,what would I choose at karaoke?,¿qué elegiría en karaoke?,serious song,canción seria,ridiculous song,canción ridícula,dumb,same_place,1,music,FALSE,after_both_answer,,Approved
GU-027,Know Me,guess,prediction,—,what would make me leave a party early?,¿qué me haría irme temprano de una fiesta?,too crowded,demasiada gente,bad music,mala música,dumb,same_place,1,party,FALSE,after_both_answer,,Approved
GU-028,Know Me,guess,prediction,—,what would I rather plan?,¿qué preferiría planear?,trip,viaje,party,fiesta,know_me,both,1,planning,FALSE,after_both_answer,,Approved
GU-029,Know Me,guess,prediction,—,what am I worse at?,¿en qué soy peor?,asking for help,pedir ayuda,saying no,decir que no,know_me,both,2,personality,FALSE,after_both_answer,,Approved
GU-030,Know Me,guess,prediction,—,what would I forgive faster?,¿qué perdonaría más rápido?,being late,llegar tarde,forgetting a date,olvidar una fecha,know_me,both,2,values,FALSE,after_both_answer,,Approved
GU-031,Know Me,guess,prediction,—,what would I pick in a new city?,¿qué elegiría en una ciudad nueva?,famous restaurant,restaurante famoso,weird local place,lugar local raro,know_me,both,1,travel,FALSE,after_both_answer,,Approved
GU-032,Know Me,guess,prediction,—,what would I rather get addicted to?,¿a qué preferiría volverme adicto/a?,coffee,café,gym,gym,dumb,both,1,habits,FALSE,after_both_answer,,Approved
GU-033,Know Me,guess,prediction,—,what would I want after an argument?,¿qué querría después de discutir?,hug,abrazo,time alone,tiempo solo/a,know_me,both,3,conflict,FALSE,after_both_answer,,Approved
GU-034,Know Me,guess,prediction,—,what would I choose for a tiny celebration?,¿qué elegiría para celebrar algo pequeño?,dessert,postre,drinks,tragos,dumb,both,1,celebration,FALSE,after_both_answer,,Approved
GU-035,Know Me,guess,prediction,—,which is more me?,¿qué es más yo?,organized chaos,caos organizado,actual organization,organización real,dumb,both,1,personality,FALSE,after_both_answer,,Approved
GU-036,Know Me,guess,prediction,—,what would I pick as a pet?,¿qué elegiría de mascota?,tiny weird animal,animal raro chiquito,big friendly dog,perro grande y amistoso,dumb,both,1,pets,FALSE,after_both_answer,,Approved
GU-037,Know Me,guess,prediction,—,what would impress me more?,¿qué me impresionaría más?,talent,talento,kindness,amabilidad,know_me,both,2,values,FALSE,after_both_answer,,Approved
GU-038,Know Me,guess,prediction,—,what would I rather lose for a week?,¿qué preferiría perder por una semana?,music,música,social media,redes sociales,dumb,both,1,media,FALSE,after_both_answer,,Approved
GU-039,Know Me,guess,prediction,—,what would I choose for date night?,¿qué elegiría para cita?,dress up,arreglarnos,super casual,súper casual,flirt,both,1,date,FALSE,after_both_answer,,Approved
GU-040,Know Me,guess,prediction,—,what makes me feel closer?,¿qué me hace sentir más cerca?,deep talk,plática profunda,doing something together,hacer algo juntos,know_me,both,2,connection,FALSE,after_both_answer,,Approved
GU-041,Know Me,guess,prediction,—,what would I rather be surprised with?,¿qué preferiría de sorpresa?,food,comida,tickets,boletos,flirt,both,1,surprise,FALSE,after_both_answer,,Approved
GU-042,Know Me,guess,prediction,—,what would I choose if I'm stressed?,¿qué escogería si estoy estresado/a?,fix the problem now,resolverlo ya,ignore it for a while,ignorarlo un rato,know_me,both,2,stress,FALSE,after_both_answer,,Approved
GU-043,Know Me,guess,prediction,—,what would I rather hear from you?,¿qué preferiría escuchar de ti?,I missed you,te extrañé,I thought about you,pensé en ti,flirt,both,2,connection,FALSE,after_both_answer,,Approved
GU-044,Know Me,guess,prediction,—,what would I choose for a random Tuesday?,¿qué elegiría para un martes random?,go out,salir,stay home,quedarme,know_me,both,1,routine,FALSE,after_both_answer,,Approved
GU-045,Know Me,guess,prediction,—,what would I brag about more?,¿de qué presumiría más?,great meal I cooked,comida increíble que cociné,great trip I planned,viaje increíble que planeé,dumb,both,1,pride,FALSE,after_both_answer,,Approved
GU-046,Know Me,guess,prediction,—,what would hurt my feelings more?,¿qué me dolería más?,being ignored,que me ignoren,being misunderstood,que no me entiendan,know_me,both,3,emotions,FALSE,after_both_answer,,Approved
GU-047,Know Me,guess,prediction,—,what would I prefer when sick?,¿qué preferiría cuando estoy enfermo/a?,company,compañía,leave me alone,déjame solo/a,know_me,both,2,care,FALSE,after_both_answer,,Approved
GU-048,Know Me,guess,prediction,—,what would I choose for a first move?,¿qué elegiría como primer movimiento?,text first,mandar mensaje primero,wait,esperar,flirt,both,2,dating,FALSE,after_both_answer,,Approved
GU-049,Know Me,guess,prediction,—,what would I rather share?,¿qué preferiría compartir?,food,comida,hoodie,sudadera,flirt,same_place,1,affection,FALSE,after_both_answer,,Approved
GU-050,Know Me,guess,prediction,—,what would I pick for a keepsake?,¿qué elegiría para recuerdo?,printed photo,foto impresa,random ticket stub,boleto random,know_me,both,1,memory,FALSE,after_both_answer,,Approved
GU-051,Know Me,guess,prediction,—,what would I choose for a bad mood?,¿qué escogería de mal humor?,comfort food,comfort food,loud music,música fuerte,dumb,both,1,mood,FALSE,after_both_answer,,Approved
GU-052,Know Me,guess,prediction,—,what would I rather be early for?,¿para qué preferiría llegar temprano?,flight,vuelo,concert,concierto,dumb,both,1,habits,FALSE,after_both_answer,,Approved
GU-053,Know Me,guess,prediction,—,what would I choose for a tiny adventure?,¿qué elegiría para mini aventura?,new neighborhood,colonia nueva,random road,carretera random,dumb,same_place,1,adventure,FALSE,after_both_answer,,Approved
GU-054,Know Me,guess,prediction,—,what would I rather spend Sunday doing?,¿qué preferiría hacer en domingo?,clean/reset,limpiar/resetear,go out,salir,know_me,both,1,routine,FALSE,after_both_answer,,Approved
GU-055,Know Me,guess,prediction,—,what would I pick if I had one extra hour?,¿qué elegiría con una hora extra?,sleep,dormir,do something fun,hacer algo divertido,know_me,both,1,time,FALSE,after_both_answer,,Approved
GU-056,Know Me,guess,prediction,—,what would I choose for a long call?,¿qué elegiría para una llamada larga?,video,video,audio only,solo audio,flirt,apart,1,remote,FALSE,after_both_answer,,Approved
GU-057,Know Me,guess,prediction,—,what would I care about more in a gift?,¿qué me importaría más de un regalo?,story behind it,historia detrás,how useful it is,qué tan útil es,know_me,both,2,gift,FALSE,after_both_answer,,Approved
GU-058,Know Me,guess,prediction,—,what would I rather be teased about?,¿sobre qué preferiría que me molestaran?,my habits,mis hábitos,my taste,mis gustos,flirt,both,1,teasing,FALSE,after_both_answer,,Approved
GU-059,Know Me,guess,prediction,—,what would I choose for a secret escape?,¿qué elegiría para escapada secreta?,hotel in the city,hotel en la ciudad,cabin far away,cabaña lejos,flirt,both,2,travel,FALSE,after_both_answer,,Approved
GU-060,Know Me,guess,prediction,—,what would I rather have photographed?,¿qué preferiría que fotografiaran?,me looking good,yo viéndome bien,us laughing,nosotros riéndonos,flirt,both,1,photos,FALSE,after_both_answer,,Approved
GU-061,Know Me,guess,prediction,—,what would I choose to learn instantly?,¿qué elegiría aprender al instante?,another language,otro idioma,an instrument,un instrumento,know_me,both,1,skills,FALSE,after_both_answer,,Approved
GU-062,Know Me,guess,prediction,—,what would I rather hear after I mess up?,¿qué preferiría escuchar si la riego?,it's okay,no pasa nada,let's fix it,vamos a arreglarlo,know_me,both,2,support,FALSE,after_both_answer,,Approved
GU-063,Know Me,guess,prediction,—,what would I pick to show affection?,¿qué elegiría para mostrar cariño?,physical touch,contacto físico,doing favors,hacer favores,flirt,both,2,affection,FALSE,after_both_answer,,Approved
GU-064,Know Me,guess,prediction,—,what would I choose as a spontaneous treat?,¿qué elegiría como gustito espontáneo?,nice dinner,cena buena,new gadget,gadget nuevo,dumb,both,1,treat,FALSE,after_both_answer,,Approved
GU-065,Know Me,guess,prediction,—,what would I rather keep private?,¿qué preferiría mantener privado?,my plans,mis planes,my feelings,mis sentimientos,know_me,both,3,privacy,FALSE,after_both_answer,,Approved
